#key	name	year	genre	developer	players
Slayer (USA)	Slayer	1994	Role Playing Game	Lion Entertainment	1
SnowJob Starring Tracy Scoggins (USA) (Disc 1)	Snow Job	1995	Adventure / Point and Click/Adventure	iXL Interactive Excellence	1
Soccer Kid (USA)	Soccer Kid	1994	Platform	Krisalis Software	1
Sotsugyou - Graduation - Final (Japan)	Sotsugyō : Graduation Final	1994	Adventure	Headroom	1
Sotsugyou II Special - Neo Generation (Japan)	Sotsugyou II : Neo Generation Special	1995	Adventure	Shar Rock	1
Space Ace (USA)	Space Ace	1995	Adventure	ReadySoft	1
Space Hulk - Vengeance of the Blood Angels (USA)	Space Hulk : Vengeance of the Blood Angels	1995	Strategy	Key Game	1
Space Pirates (USA)	Space Pirates	1994	Shooter / FPV/Shooter	American Laser Games	1-2
Space Shuttle (USA)	Space Shuttle	1994	Shooter / FPV/Shooter	Amazing Media	1
Star Control II (USA, Europe)	Star Control II	1994	Strategy	Toys For Bob	1-2
Star Control II - The Ur-Quan Masters (Japan)	Star Control II	1994	Strategy	Toys For Bob	1-2
Star Fighter (USA, Europe)	Star Fighter	1996	Shoot'em Up	The World Federation Entertainments Network	1
Star Wars - Rebel Assault (USA, Europe)	Star Wars : Rebel Assault	1994	Shooter / Plane, FPV/Shooter	LucasArts	1
Starblade (USA, Korea)	Starblade	1994	Shooter / Plane, FPV/Shooter	High Tech Laboratory Japan	1
Stellar 7 - Draxon's Revenge (USA)	Stellar 7 : Draxon's Revenge	1993	Shooter / Vehicle, FPV/Shooter	Dynamix	1
Strahl (USA)	Strahl	1995	Adventure	Media Entertainment	1
Striker - World Cup Special (Europe)	Striker : World Cup Special	1994	Sports/Sports / Football (Soccer)	Rage Software	1
Super Real Mahjong P.V (Japan)	Super Real Mahjong PV	1995	Mahjong/Asiatic board game	SETA	1
Super Real Mahjong PIV + Aishou Shindan (Japan)	Super Real Mahjong PIV + Aishō Shindan	1995	Mahjong/Asiatic board game	SETA	1
Super Street Fighter II Turbo (USA)	Super Street Fighter II Turbo	1994	Fighting	Capcom	1-2
Super Street Fighter II X - Grand Master Challenge (Japan)	Super Street Fighter II Turbo	1994	Fighting	Capcom	1-2
Super Wing Commander (USA)	Super Wing Commander	1994	Shooter / Plane, FPV/Shooter	ORIGIN Systems	1
SuperModels Go Wild (USA)	Super Models Go Wild	1994	Adventure/Adults	Vivid Interactive	1
Supreme Warrior (USA) (Disc 1) (Fire & Earth)	Supreme Warrior	1994	Fighting	Digital Pictures	1
Sword & Sorcery (Japan)	Lucienne's Quest	1995	Role Playing Game	Panasonic	1
Syndicate (USA)	Syndicate	1995	Strategy	Bullfrog	1
T&E VR Golf - Devil's Course (Japan)	True Golf Classics : Wicked 18	1995	Sports / Golf/Sports	T&E Soft	1-4
T&E VR Golf - Masters - Harukanaru Augusta 3 (Japan)	Masters : Harukanaru Augusta 3	1994	Sports / Golf/Sports	T&E Soft	1
T&E VR Golf - Pebble Beach no Hatou (Japan)	Pebble Beach Golf Links	1994	Sports / Golf/Sports	T&E Soft	1-4
T&E VR Golf - Waialae no Kiseki (Japan)	True Golf Classics : Waialae Country Club	1994	Sports / Golf/Sports	T&E Soft	1-4
Taiketsu Rumiizu! (Japan)	Taiketsu Rumi-Zu!	1995	Puzzle	Octagon Entertainment	1-4
Takeru (Japan) (Rev 1)	Takeru	1994	Adventure / Interactive Movie/Adventure	Fun Project	1
Tanjou - Debut - Pure (Japan) (Rev A)	Tanjou Debut : Pure	1996	Simulation / Life/Simulation	Fill in Café	1
Tarot Uranai (Japan)	Tarot Uranai	1995	Casino / Cards/Casino	Ariadne	1
Tetsujin (Japan)	Iron Angel of The Apocalypse	1994	Shooter / FPV/Shooter	Synergy	1
Tetsujin Returns (Japan)	Iron Angel of the Apocalypse : The Return	1995	Shooter / FPV/Shooter	Synergy	1
Theatre Wars - Goraku no Dendou (Japan)	Theatre Wars : Goraku no Dendou	1994	Build And Management/Simulation	Scitron	1
Theme Park (USA)	Theme Park	1994	Build And Management/Simulation	Bullfrog	1
Toki o Koeta Tegami (Japan)	Toki o Koeta Tegami	1994	Adventure	Thinking Rabbit	1
Tokimeki Mahjong Paradise Special - Koi no Tenpai Beat (Japan)	Tokimeki Mahjong Paradise Special	1996	Mahjong/Asiatic board game	Sonnet Computer Entertainment	1
Total Eclipse (USA)	Total Eclipse	1994	Shoot'em Up	Crystal Dynamics	1
Totsugeki Karakuri! Megadas!! (Japan)	Totsugeki Kikan Megadasu!!	1994	Sports / Sumo/Sports	WARP	
Touhaiden Akagi (Japan)	Akagi : Touhaiden	1996	Strategy	Micronet	1
Tower, The (Japan)	The Tower	1996	Build And Management/Simulation	OPeNBooK	1
Tozasareta Yakata (Japan)	Killing Time	1995	Shooter / FPV/Shooter	Studio 3DO	1
Trip'd (USA, Europe)	Trip'd	1995	Puzzle	WARP	1-2
True Golf Classics - Pebble Beach Golf Links (Europe)	Pebble Beach Golf Links	1994	Sports / Golf/Sports	T&E Soft	1-4
True Golf Classics - Waialae Country Club (Germany)	True Golf Classics : Waialae Country Club	1994	Sports / Golf/Sports	T&E Soft	1-4
Twinkle Knights (Japan)	Twinkle Knights	1995	Casino / Cards/Casino	Axes Art Amuse	1
Twisted (Japan)	Twisted : The Game Show	1993	Puzzle	Studio 3DO	1-4
Twisted - The Game Show (USA)	Twisted : The Game Show	1993	Puzzle	Studio 3DO	1-4
Uchuu Seibutsu Flopon-kun (Japan)	Trip'd	1995	Puzzle	WARP	1-2
Ultraman Powered (Japan)	Ultraman Powered	1994	Fighting	TOSE	1-2
V Goal Soccer '96 (Japan)	V Goal Soccer '96	1996	Sports / Football (Soccer)/Sports	Tecmo	1
Virtual Cameraman Part 1 - Naomi Sawada & Anna Juri (Japan)	Virtual Cameraman Part 1 : Sawada Naomi and Juri Anna	1995	Simulation / Life/Simulation	High Tech Laboratory	1
Virtual Cameraman Part 2 - Natsumi Kawai & Kimi Tachihara (Japan)	Virtual Cameraman Part 2 : Kawai Natsumi and Tachihara Kimi	1995	Simulation / Life/Simulation	High Tech Laboratory	1
Virtual Cameraman Part 3 - Yumika Sugimoto (Japan)	Virtual Cameraman Part 3 : Sugimoto Yumika	1995	Simulation / Life/Simulation	Transpegasus	1
Virtual Cameraman Part 4 - Shiori Fujitani (Japan)	Virtual Cameraman Part 4 : Toya Shiori	1995	Simulation / Life/Simulation	Transpegasus	1
Virtual Cameraman Part 5 - Yuri Andou (Japan)	Virtual Cameraman Part 5 : Anzo Ari	1995	Simulation / Life/Simulation	Transpegasus	1
Virtual Horror - Norowareta Yakata (Japan) (En,Ja)	Escape From Monster Manor	1993	Shooter / FPV/Shooter	Panasonic	1
Virtual Puppet Reika (Japan)	Virtual Puppet Reika	1994	Music and Dancing	Kuki	1
Virtual Quest - Pharaoh no Fuuin (Japan)	Seal Of The Pharaoh	1994	Adventure	System Sacom	1
Virtuoso (USA)	Virtuoso	1995	Shooter / Plane, TPV/Shooter	Movietime	1
VR Stalker (USA, Korea)	VR Stalker	1994	Shooter / Plane, FPV/Shooter	Morpheus Interactive	1
Waialae Country Club (USA, Canada)	True Golf Classics : Waialae Country Club	1994	Sports / Golf/Sports	T&E Soft	1-4
Way of the Warrior (USA)	Way Of The Warrior	1994	Fighting	Naughty Dog	1-2
Who Shot Johnny Rock (USA)	Who Shot Johnny Rock	1994	Lightgun Shooter	American Laser Games	1
Wicked 18 (USA)	True Golf Classics : Wicked 18	1995	Sports / Golf/Sports	T&E Soft	1-4
Wing Commander III - Heart of the Tiger (USA) (Disc 1)	Wing Commander III : Heart of the Tiger	1995	Simulation/Simulation / SciFi	ORIGIN Systems	1
Winning Post (Japan)	Winning Post	1994	Horse racing/Sports with animals	Koei	1
Wolfenstein 3D (USA)	Wolfenstein 3D	1995	Shooter / FPV/Shooter	Logicware	1
Woody Woodpecker and Friends - Volume One (USA) (RE-1)	Woody Woodpecker And Friends : Volume One	1994	Various	Universal	1
Woody Woodpecker and Friends - Volume Three (USA)	Woody Woodpecker And Friends : Volume Three	1994	Various	Universal	1
Woody Woodpecker and Friends - Volume Two (USA)	Woody Woodpecker And Friends : Volume Two	1994	Various	Universal	1
World Cup Golf - Hyatt Dorado Beach (USA, Europe)	World Cup Golf : Hyatt Dorado Beach	1994	Sports / Golf/Sports	Arc Developments Limited	1
World Cup Special (Japan)	Striker : World Cup Special	1994	Sports/Sports / Football (Soccer)	Rage Software	1
Yakyuuken Special, The (Japan)	The Yakyuuken Special	1994	Adventure/Adults	NEW Jatre	1
Yamada Kamachi Bijutsukan - Kamachi's Museum (Japan)	Yamada Kamachi Bijutsukan : Kamachi's Museum	1995	Educational	System Sacom	1
Yamamura Misa Suspense - Kyoto Kurama Sansou Satsujin Jiken (Japan) (Disc 1)	Yamamura Misa Suspense : Kyōto Anba Sansō Satsujin Jiken	1994	Adventure / Interactive Movie/Adventure	Pack-In-Video	1
Yu Yu Hakusho (Japan)	Yū Yū Hakusho	1994	Fighting	Hudson Soft	1-2
Yuujou Densetsu - The Doraemons (Japan)	Yuujou Densetsu : The Doraemons	1995	Adventure	Riverhillsoft	1
Zhadnost - The People's Party (USA, Europe)	Zhadnost : The People's Party	1995	Strategy	Studio 3DO	4
