#key	name	year	genre	developer	players
Emit Vol. 2 - Inochigake no Tabi (Japan)	EMIT Vol. 2 : Inochigake no Tabi	1995	Adventure / Visual Novel/Adventure	Koei	1
Emit Vol. 3 - Watashi ni Sayonara o (Japan)	EMIT Vol. 3 : Watashi ni Sayonara o	1995	Adventure / Visual Novel/Adventure	Koei	1
Endlessly (USA)	Endlessly	1995	Adults	Vivid Interactive	1
Escape from Monster Manor (USA)	Escape From Monster Manor	1993	Shooter / FPV/Shooter	Panasonic	1
ESPN Baseball - Hitting (USA)	ESPN Baseball : Interactive Hitting	1994	Sports / Baseball/Sports	Intellimedia Sports	1
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 1)	ESPN Golf : Lower Your Score With Tom Kite - Shot Making	1994	Sports / Golf/Sports	Intellimedia Sports	1
ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 1) (Shot Yousei Kouza Vol. 1)	ESPN Golf : Lower Your Score With Tom Kite - Shot Making	1994	Sports / Golf/Sports	Intellimedia Sports	1
ESPN Let's Go Skiing with Picabo Street, A. J. Kitt & Holly Flanders (USA)	ESPN : Let's Go Skiing	1994	Sports	IntelliPlay	1
ESPN Let's Play Beach Volleyball with Karch Kiraly and Karolyn Kirby (USA)	ESPN : Let's Play Beach Volleyball	1994	Sports / Volleyball/Sports	Intellimedia Sports	1
ESPN Let's Play Soccer with John Harkes and Mia Hamm (USA)	ESPN : Let's Play Soccer with John Harkes and Mia Hamm	1994	Sports / Football (Soccer)/Sports	Intellimedia Sports	1
ESPN Let's Play Tennis with Tracy Austin (USA)	ESPN : Let's Play Tennis with Tracy Austin	1994	Sports / Tennis/Sports	Intellimedia Sports	1
Eye of Typhoon, The (Korea)	Eye of Typhoon, The	1996	Fighting / 2D/Fighting	Viccom	1-2
F1GP (Japan)	F1 GP	1995	Racing, Driving	Dynamite	1
Family Feud (USA)	Family Feud	1994	Quiz / English/Quiz	Eurocom Developments	1-8
Fatty Bear's Birthday Surprise (USA)	Fatty Bear's Birthday Surprise	1993	Adventure	Humongous Entertainment	1-10
Fatty Bear's Fun Pack (Korea)	Fatty Bear's FunPack	1993	Adventure	Humongous Entertainment	1
Fatty Bear's Funpack (USA)	Fatty Bear's FunPack	1993	Adventure	Humongous Entertainment	1
FIFA International Soccer (USA, Korea)	FIFA International Soccer	1995	Sports/Sports / Football (Soccer)	EA Sports	1-6
Fire Ball!! (Japan)	Real Pinball	1994	Pinball	Japan DataWorks	1
Firewall (Korea)	Firewall	1996	Adventure	Visionary Media	1
Flashback (Europe) (En,Fr)	Flashback : The Quest for Identity	1993	Platform	Delphine Software International	1
Flashback - The Quest for Identity (USA) (En,Fr)	Flashback : The Quest for Identity	1993	Platform	Delphine Software International	1
Flopon World (Japan)	Flopon World	1995	Puzzle	WARP	2
Flying Nightmares (USA)	Flying Nightmares	1995	Shooter / Plane/Shooter	Simis Limited	1
Foes of Ali (USA)	Foes Of Ali	1995	Sports / Boxing/Sports	Grey Matter	1-2
Fun 'n Games (USA)	Fun 'n' Games	1995	Casual Game	Williams	1
Fun 'n Games - Soft no Omochabako (Japan) (En,Ja)	Fun 'n' Games	1995	Casual Game	Williams	1
Gakkou no Kowai Uwasa - Hanako-san ga Kita!! (Japan)	Gakkō no Kowai Uwasa : Hanako-San ga Kita!!	1995	Adventure	Takeshobo	1
Game no Tatsujin (Japan)	Game no Tatsujin	1995	Asiatic board game	Sunsoft	1-2
Gex (USA, Europe)	Gex	1994	Platform	Crystal Dynamics	1
Ghost Hunter Series - Kuroki Shi no Kamen (Japan)	Kuroki Shi no Kamen	1994	Role Playing Game	Hummingbird Soft	1
Goal FH (Field Hunter) (Japan)	Goal FH	1995	Sports / Football (Soccer)/Sports	NHK Software	1
Great! Soccer Kid (Japan)	Soccer Kid	1994	Platform	Krisalis Software	1
Gridders (USA, Korea)	Gridders	1994	Strategy	Tetragon	1
Grimm Meisaku Gekijou Vol. 1 - Bremen no Ongakutai (Japan)	Grimm Meisaku Gekijou Vol. 1 : Bremen no Ongakutai	1994	Adventure	JASPAC	1
Grimm Meisaku Gekijou Vol. 2 - Hansel to Gretel (Japan)	Grimm Meisaku Gekijou Vol. 2 : Hansel To Gretel	1994	Adventure	JASPAC	1
Grimm Meisaku Gekijou Vol. 3 - Akazukin (Japan)	Grimm Meisaku Gekijou Vol. 3 : Akazukin	1994	Adventure	JASPAC	1
Guardian War (USA, Korea)	Guardian War	1994	Role Playing Game	Micro Cabin	1
Hell - A Cyberpunk Thriller (USA)	Hell : A Cyberpunk Thriller	1994	Adventure	Take 2 Interactive	1
Hello Kitty - Asobi no Omochabako (Japan)	Hello Kitty Asobi no Omochabako	1995	Educational	Mizuki	1
Hirata Shougo Interactive Ehon - Aesop Monogatari Vol. 1 (Japan) (En,Ja,Fr)	Hirata Shougo Interactive Ehon : Aesop Monogatari Vol. 1	1994	Adventure / Interactive Movie/Adventure	Elcom	1
Hirata Shougo Interactive Ehon - Cinderella (Japan) (En,Ja,Fr)	Hirata Shougo Interactive Ehon : Cinderella	1995	Adventure / Interactive Movie/Adventure	Elcom	1
Hirata Shougo Interactive Ehon - Ningyo-hime (Japan) (En,Ja,Fr)	Hirata Shougo Interactive Ehon : Ningyo-hime	1994	Adventure / Interactive Movie/Adventure	Elcom	1
Hirata Shougo Interactive Ehon - Ookami to Shichihiki no Koyagi (Japan) (En,Ja,Fr)	Hirata Shougo Interactive Ehon : Ookami to Shichihiki no Koyagi	1995	Adventure / Interactive Movie/Adventure	Elcom	1
Hirata Shougo Interactive Ehon - Sanbiki no Kobuta (Japan) (En,Ja,Fr)	Hirata Shougo Interactive Ehon : Sanbiki no Kobuta	1995	Adventure / Interactive Movie/Adventure	Elcom	1
Hirata Shougo Interactive Ehon - Shirayuki-hime (Japan) (En,Ja,Fr)	Hirata Shougo Interactive Ehon : Shirayukihime	1994	Adventure / Interactive Movie/Adventure	Elcom	1
Hitchcock ni Chousen (Japan)	Hitchcock ni Chousen	1995	Puzzle	Toyota	1
Horde, The (World)	The Horde	1994	Strategy	Toys For Bob	1
Icebreaker (USA)	Icebreaker	1995	Puzzle	Magnet	1
Ide Yousuke Meijin no Shin Jissen Mahjong (Japan)	Ide Yousuke Meijin No Shin Jissen Mahjong	1996	Mahjong/Asiatic board game	Capcom	2
Idol Janshi Suchie-Pai Special (Japan)	Idol Janshi Suchie-Pai Special	1995	Mahjong/Asiatic board game	Jaleco	1
Idol Mahjong - Final Romance 2 - Hyper Edition (Japan)	Idol Mahjong Final Romance 2 : Hyper Mahjong	1996	Mahjong/Asiatic board game	Infini	1
Igo Time Trial - Shikatsu Daihyakka (Japan)	Igo Time Trial - Shikatsu Daihyakka	1995	Go/Asiatic board game	Ematec	1
Igo Time Trial - Tsumego I (Japan)	Igo Time Trial : Tsumego I	1994	Go/Asiatic board game	Ematec	1-2
Immercenary (Europe)	Immercenary	1995	Shooter / FPV/Shooter	Five Miles Out	1
