#key	name	year	genre	developer	players
Take the Money and Run (USA, Europe)	Take the Money and Run!	1978		Magnavox	2
Thunderball (USA, Europe)	Thunderball!	1980	Various	Philips Interactive Media	1-4
Turtles (USA)	Turtles	1983		Konami	1
Tutankham (Europe) (Proto)	Tutankham	1982		Konami	1-2
Type & Tell (USA)	Type & Tell	1982	Educational	Philips Interactive Media	1
UFO (USA)	UFO!	1981	Shooter	Philips Interactive Media	1
Verkehrsspiele 1 (Germany)	Kinder Im Verkehr 1	1982		Philips Interactive Media	1
Verkehrsspiele 2 (Germany)	Verkehrsspiele 2	1982	Educational		
Volleyball (USA, Europe)	Volleyball!	1981	Sports / Volleyball/Sports	Magnavox	1-2
War of Nerves (USA, Europe)	War of Nerves	1981	Strategy	Magnavox	1-2
