#key	name	year	genre	developer	players
Impossible Mission 2025 - The Special Edition (Europe)	Impossible Mission	1994	Platform	MicroProse	1
International Karate + (Europe)	International Karate +	1994	Sports / Fighting/Sports	Software Studios	1-2
International Sensible Soccer - World Champions (Europe) (En,Fr,De,It)	Sensible Soccer - International Edition	1994	Sports / Football (Soccer)/Sports	Sensible Software	1-2
James Pond 2 - Robocod (Europe)	James Pond 2 : Robocod	1993	Platform	Vectordean	1
James Pond 3 - Operation Starfi5h (Europe)	James Pond 3 : Operation Starfi5h	1994	Platform	Vectordean	1
Jetstrike CD32 (Europe)	Jetstrike	1994	Shoot'em Up	Shadow Software	1
Jim Power in Mutant Planet (USA)	Jim Power in Mutant Planet	1992	Platform	Digital Concept	1
John Barnes European Football (Europe) (En,Fr,De,Es,It)	John Barnes' European Football	1994	Sports	Krisalis Software	1-2
Jungle Strike - The Sequel to Desert Strike (Europe)	Jungle Strike	1994	Shoot'em Up / Diagonal/Shoot'em Up	Hyperial Software Developments	1
Kid Chaos (Europe)	Kid Chaos	1994		Magnetic Fields	1
Kingpin - Arcade Sports Bowling (Europe) (En,Fr,De,It)	Kingpin : Arcade Sports Bowling	1995	Sports / Bowling/Sports	Team 17	1-6
Labyrinth of Time, The (Europe)	The Labyrinth Of Time	1994	Adventure / Point and Click/Adventure	Terra Nova Development	1
Lamborghini - American Challenge (Europe)	Lamborghini - American Challenge	1994	Racing, Driving	Titus	1-2
Last Ninja 3 (Europe)	Ninja Three	1994		System 3 Software	1
Legends (Europe) (En,Fr,De)	Legends	1996	Action / Adventure/Action	Krisalis Software	1
Liberation - Captive II (Europe)	Liberation	1994	Role Playing Game	Byte Engineers	1
Litil Divil (Europe)	Litil Divil	1994	Adventure	Gremlin Graphics Software	1
Lost Vikings, The (Europe)	The Lost Vikings	1994	Platform / Run & Jump/Platform	Silicon & Synapse	1
Magic Island (Czech)	Magic Island	1995	Role Playing Game	Arda Team	
Manchester United - Premier League Champions (Europe) (En,Fr,De,It)	Manchester United Premier League Champions	1994	Sports / Football (Soccer)/Sports	Krisalis Software	1-2
Marvin's Marvellous Adventure (Europe) (En,Fr,De,Es,It)	Marvin's Marvellous Adventure	1994	Platform	Infernal Byte Systems	1
Mean Arenas (Europe)	Mean Arenas	1994	Action / Labyrinth/Action	Nite Time Games	1-2
Microcosm (Europe)	Microcosm	1994	Shooter / FPV/Shooter	Psygnosis	1
Morph (Europe)	Morph	1993	Platform	Millennium Interactive	1
Myth - History in the Making (Europe)	Myth : History in the Making	1994	Platform	System 3 Software	1
Naughty Ones (Europe)	Naughty Ones	1994	Platform	Melon Dezign	1
Nick Faldos Championship Golf (Europe)	Nick Faldo's Championship Golf	1994	Sports / Golf/Sports	Arc Developments Limited	1-4
Nigel Mansell's World Championship (Europe)	Nigel Mansell's World Championship	1993	Racing, Driving	Gremlin Graphics Software	1-2
Overkill & Lunar-C (Europe)	Overkill And Lunar-c	1993	Compilation	Mindscape	1
PGA European Tour (Europe)	Pga European Tour	1995	Sports / Golf/Sports	The Dome Software Developments	1-4
Pierre Le Chef Is ... Out to Lunch (Europe)	Pierre Le Chef Is ... Out To Lunch	1994	Platform	Mindscape	1-2
Pinball Fantasies (Europe)	Pinball Fantasies	1993	Pinball	Digital Illusions	1-8
Pinball Illusions (Europe)	Pinball Illusions	1995	Pinball	Digital Illusions	1-8
Pirates! Gold (Europe) (En,De)	Pirates! Gold	1994	Adventure	MicroProse	1
Power Drive (Europe) (En,Fr,De,Es,It)	Power Drive	1994	Racing, Driving	Rage Software	1-8
Power-Games (Europe) (En,De)	Power-games	1994	Compilation		
Premiere (Europe)	Premiere	1994	Platform	The 8Th Day	1
Prey - An Alien Encounter (Europe)	Prey - An Alien Encounter	1994	Adventure	Kirk Moreno MultiMedia	1
Project-X & F17 Challenge (Europe) (En,Fr,De,It,Da)	Project-X & F17 Challenge	1994	Compilation	Team 17	1-2
Project-X & Ultimate Body Blows (Europe)	Project-X & Ultimate Body Blows	1994	Fighting	Team 17	1-2
Projekt - Lila (Germany)	Projekt - Lila	2016	Platform	AMIworx	1
Quik the Thunder Rabbit (Europe)	Quik The Thunder Rabbit	1994	Platform	Stywox	1
Rise of the Robots (Europe)	Rise Of The Robots	1994	Fighting	Mirage Technologies	1-2
Roadkill (Europe)	Roadkill	1994	Racing, Driving	Vision Software	1
Ryder Cup - Johnnie Walker (Europe)	Ryder Cup : Johnnie Walker	1994	Sports / Golf/Sports	RISC	1-4
Sabre Team (Europe) (En,Fr,De,Es,It)	Sabre Team	1994	Strategy	Krisalis Software	1
Seek and Destroy (Europe)	Seek & Destroy	1994	Shoot'em Up	Vision Software	1-2
Sensible Soccer - European Champions (Europe) (En,Fr,De,It)	Sensible Soccer - European Champions	1993	Sports / Football (Soccer)/Sports	Sensible Software	1-2
Seven Gates of Jambala, The (Europe)	The Seven Gates Of Jambala	1994	Platform	Care Bears	1
Shadow Fighter (Europe)	Shadow Fighter	1995	Fighting / Versus/Fighting	NAPS Team	1-2
Simon the Sorcerer (Europe)	Simon The Sorcerer	1994	Adventure / Point and Click/Adventure	Adventure Soft	1
Skeleton Krew (Europe)	Skeleton Krew	1995		Core Design	1-2
Sleepwalker & Pinball Fantasies (Europe)	Pinball Fantasies	1993	Pinball	Digital Illusions	1-8
Sleepwalker (Europe)	Sleepwalker	1993	Platform	CTA Developments	1
Soccer Kid (Europe) (En,Fr,De,Es,It)	Soccer Kid	1993	Platform	Krisalis Software	1
Speedball 2 (Europe)	Speedball 2 : Brutal Deluxe	1995	Sports	The Bitmap Brothers	1-2
Speris Legacy, The (Europe)	The Speris Legacy	1996		Binary Emotions	1
Sports - Football (USA)	Sports Football	1988	Sports / Football (American)/Sports		1-2
Striker (Europe)	Striker	1992	Sports / Football (Soccer)/Sports	Rage Software	1-2
Strip Pot (Europe)	Strip Pot	1994	Adults	Pixel Blue	1
Subwar 2050 (Europe) (En,Fr,De)	Subwar 2050	1994	Simulation	Particle Systems	1
Summer Olympix (Europe)	Summer Olympix	1994	Sports / Multisports/Sports	Flair Software	1-4
Super Methane Bros. (Europe)	Super Methane Bros.	1994	Platform	Apache	1-2
Super Putty (Europe)	Super Putty	1992	Platform	System 3 Software	1
Super Skidmarks (Europe)	Super Skidmarks	1995	Racing, Driving	Acid	1-8
Super Stardust (Europe)	Super Stardust	1995	Shoot'em Up	Bloodhouse	1
Super Street Fighter II Turbo (Europe)	Super Street Fighter II Turbo	1996	Fighting / Versus/Fighting	Eurocom Developments	1-2
Superfrog (Europe)	Superfrog	1994	Platform	Team 17	1
Surf Ninjas (Europe)	Surf Ninjas	1994	Sports / Water/Sports	Creative Edge Software	1
Syndicate (Europe) (En,Fr,It)	Syndicate	1995	Strategy	Bullfrog	1
Theme Park (Europe) (En,Fr,De,It)	Theme Park	1994	Build And Management/Simulation	Bullfrog	1
Top Gear 2 (Europe)	Top Gear 2	1994	Racing, Driving	Gremlin Interactive	1-2
Total Carnage (Europe)	Total Carnage	1994	Shooter / Run and Gun/Shooter	International Computer Entertainment	1-2
Trivial Pursuit - The CD32 Edition (Europe)	Trivial Pursuit - The CD32 Edition	1994	Board game/Quiz	Oxford Digital Enterprises	1-6
Trolls (Europe)	Trolls	1993	Platform	Flair Software	1
UFO - Enemy Unknown (Europe) (En,Fr,De)	UFO : Enemy Unknown	1994	Strategy	Mythos Game	1
Ultimate Body Blows (Europe)	Ultimate Body Blows	1994	Fighting	Team 17	1-2
Universe (Europe) (En,Fr,De,It)	Universe	1994	Adventure / Point and Click/Adventure	Core Design	1
Vital Light (Europe)	Vital Light	1994	Puzzle	Efecto Caos	1-2
Wembley International Soccer (Europe)	Wembley International Soccer	1994	Sports	Audiogenic Software	1-2
Whale's Voyage (Europe)	Whale's Voyage	1993	Role Playing Game	Neo Software Produktions	1
Wild Cup Soccer (Europe)	Wild Cup Soccer	1994	Sports	Teque	1-2
Worms (Europe) (En,Fr,De)	Worms	1995	Strategy	Team 17	1-4
Zool - Ninja of the Nth Dimension (Europe)	Zool : Ninja of the “Nth” Dimension	1993	Platform	Gremlin Graphics Software	1-2
Zool 2 (Europe)	Zool 2	1994	Platform	The Warp Factory	1-2
