#key	name	year	genre	developer	players
Effacer (USA)	Effacer : Hangman of the 25th Century	1994	Puzzle	Capitol Disc Interactive	1
Escape from CyberCity (USA, Europe)	Escape From Cybercity	1992	Action / Adventure/Action	Fathom Pictures	1
Exploring Our Solar System (USA)	Solar System	1993	Educational	Multi Media	1
Fables d'Esope II, Les (France)	Fables D'Esope II, Les				
Face Kitchen (Europe)	Face Kitchen	1992		Freeland Studios	1
Family Games I (Europe)	Family Games I	1994	Compilation	DIMA	1-2
Family Games II - Junkfood Jive (Europe)	Family Games 2 - Junkfood Jive	1995	Compilation	DIMA	1-2
Flashback (USA)	Flashback	1994	Platform	Delphine Software International	1
Flintstones-Jetsons Timewarp (USA)	Flintstones/Jetsons Timewarp	1994	Action / Adventure/Action	R/GA Interactive	1
Geants du Jazz, Les (France)	Jazz Giants	1991	Educational	PIMA ArtSpace Group	1
Ghost (UK) (Disc 1)	Ghost				
Girl's Club (USA, Europe)	Girl's Club	1992	Simulation / Life/Simulation	Philips Interactive Media	1-4
Girls (France) (En,Fr,De,Es,Nl)	Girl's Club	1992	Simulation / Life/Simulation	Philips Interactive Media	1-4
Gnomes (USA)	Gnomes	1995	Adventure / Visual Novel/Adventure	Eaglevision Interactive Productions	1
Go (Spain)	Go	2002	Go/Asiatic board game	Capitol Disc Interactive	1-2
Goal! FIFA World Cup Soccer Quiz Game (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt)	Goal : FIFA World Cup Soccer Quiz Game	1994	Quiz / English/Quiz	Icontact	1-2
Golden Oldies I (Europe)	Golden Oldies I	1997	Compilation	The Vision Factory	1
Golden Oldies II (Europe)	Golden Oldies 2	1997	Compilation	The Vision Factory	1
Golden Oldies Jukebox (USA)	Golden Oldies I	1997	Compilation	The Vision Factory	1
Golf Tips (Europe) (En,Ja)	Golf Tips	1993	Sports / Golf/Sports	Icontact	1
Golgo 13 (Japan)	Golgo 13	1992	Adventure		1
Great British Golf (UK)	Great British Golf - Middle Ages - 1940				
Great British Golf - Middle Ages - 1940 (UK)	Great British Golf - Middle Ages - 1940				
Great Day at the Races, A (USA)	A Great Day At The Races	1993	Simulation	CD-i Racing	1-6
Guignols de l'Info, Les ...le Jeu ! (France)	Guignols de l'Info, Les - Le jeu!	1996	Adventure / Graphic/Adventure	ICDI	
Hanna-Barbera Cartoon Carnival (USA, Europe)	Cartoon Carnival				
Harvest of the Sun - Van Gogh - Une Moisson de Soleils (France)	Harvest Of The Sun Vincent Van Gogh Revisited	1991	Educational	PIMA ArtSpace Group	1
Harvest of the Sun - Vincent Van Gogh Revisited (USA)	Harvest Of The Sun Vincent Van Gogh Revisited	1991	Educational	PIMA ArtSpace Group	1
Hello U.S.A. (Europe) (Disc 1) (Hit the Road!) (Proto) (1993-03-12)	Hello U.S.A.				
Hieroglyph (Germany)	Hieroglyph	1994	Puzzle	Doka	1
Hotel Mario (USA)	Hotel Mario	1994	Puzzle	Philips Fantasy Factory	1-2
How the Camel Got His Hump (USA)	How The Camel Got It's Hump		Adventure / Visual Novel/Adventure	Rabbit Ears Productions	1
Inca (USA)	Inca	1993	Action / Adventure/Action	Coktel Vision	1
International Tennis Open (USA) (En,Fr)	International Tennis Open	1993	Sports / Tennis/Sports	Infogrames	1
Jan Pienkowski Haunted House (Europe) (En,Fr,De,Es,It,Nl)	Jan Pienkowski Haunted House	1997	Adventure	Media Station	1
Jazz Giants - From Big Band to Bossa Nova (USA, Europe)	Jazz Giants	1991	Educational	PIMA ArtSpace Group	1
Jeopardy! (USA)	Jeopardy!	1995	Quiz	Accent Media Productions	1-4
Jigsaw - The Ultimate Electronic Puzzle (USA)	Jigsaw - The Ultimate Electronic Puzzle	1991	Puzzle	NovaLogic	1
Joker's Wild! Jr., The (USA)	The Joker's Wild!	1994	Quiz	Accent Media Produtions	1-4
Joker's Wild!, The (USA)	The Joker's Wild!	1994	Quiz	Accent Media Produtions	1-4
Joy of Sex, The (USA)	The Joy Of Sex	1993	Adults	Cloudscan	1
Karaoke Voetbal (Netherlands)	Voetbal	1994	Singing/Music and Dancing	CODIM Interactive Media	1
Kether (USA) (En,Fr)	Kether	1993	Action / Adventure/Action	Infogrames	1
Kingdom - The Far Reaches (USA)	Kingdom : The Far Reaches	1995	Adventure	Virtual Image Productions	1
Labyrinth of Crete (Europe)	Labyrinth Of Crete	1997	Puzzle	Fun House	1
Labyrinth von Kreta (Germany)	Labyrinth Of Crete	1997	Puzzle	Fun House	1
Laser Lords (USA)	Laser Lords	1992	Action / Adventure/Action	Spinnaker Software	1
Last Bounty Hunter, The (Europe)	Last Bounty Hunter	1996	Shooter / FPV/Shooter	CapDisc	1
Lemmings (USA)	Lemmings	1993	Puzzle	DMA Design	1
Lingo (Netherlands)	Lingo	1994	Quiz	SPC Vision	1
Link - De Gezichten van het Kwaad (Netherlands)	Link: The Faces of Evil	1993	Action / Adventure/Action	Animation Magic	1
Link - Die Fratzen des Boesen (Germany)	Link: The Faces of Evil	1993	Action / Adventure/Action	Animation Magic	1
Link - The Faces of Evil (USA)	Link: The Faces of Evil	1993	Action / Adventure/Action	Animation Magic	1
Litil Divil (USA)	Litil Divil	1994	Adventure	Gremlin Graphics Software	1
Lords of the Rising Sun (USA)	Lords Of The Rising Sun	1992	Strategy	Cinemaware	1
Lost Eden (Europe) (En,Fr,De,Es,It)	Lost Eden	1995		Cryo Interactive	1
Lost Ride, The (Europe)	The Lost Ride	1998	Shooter	Formula Game Developments	1
Loving for a Lifetime (Europe) (Disc 1)	Loving For A Lifetime	1955	Adults	Valkieser Multimedia	
Lucky Luke - The Video Game (Europe)	Lucky Luke - The Video Game	1996	Platform	The Vision Factory & Pixelhazard	1
Machine a Remonter le Temps, La (France)	Machine A Remonter Le Temps, La	1994	Educational		1
Mad Dog 2 - Le Tresor Perdu (France)	Mad Dog II : The Lost Gold	1995	Shooter / FPV/Shooter	American Laser Games	1
Mad Dog II - El Oro Perdido (Spain)	Mad Dog II : The Lost Gold	1995	Shooter / FPV/Shooter	American Laser Games	1
Mad Dog II - The Lost Gold (Europe)	Mad Dog II : The Lost Gold	1995	Shooter / FPV/Shooter	American Laser Games	1
Mad Dog McCree (USA, Europe)	Mad Dog Mccree	1994	Shooter / FPV/Shooter	American Laser Games	1
Magic Eraser (Germany)	Magic Eraser	1995	Puzzle	Circle Multimedia Development	1
Mah-jong (Japan)	Mah-jong				
Making the Grade (UK)	Making the Grade	1995	Simulation	3T Productions	1
Maquina de Cuentos, La - Cuentos Magicos (Spain)	Story Machine : Magic Tales	1991	Educational	Spinnaker Software	1
Marco Polo (Europe) (Disc 1) (The Game)	Marco Polo	1994	Build And Management/Simulation	Infogrames	1-4
Master Labyrinth (Europe) (En,Fr,De,Nl)	Master Labyrinth	1994	Board game	AVM AG	1-4
Max Magic (USA)	Max Magic	1994	Educational	PF Magic	
Mega Maze (USA)	Mega Maze	1994	Puzzle	PolyMedia Communications	1
Merlin's Apprentice (USA)	Merlin's Apprentice	1995	Puzzle	Fun House	1
Micro Machines (Europe)	Micro Machines	1994	Racing, Driving	Codemasters	1-2
MindQuest (Europe) (Proto) (1992-01-24)	MindQuest		Puzzle	Fit Vision	
Monty Python's Invasion from the Planet Skyron (Europe)	Monty Python's Invasion From The Planet Skyron	1995	Action / Adventure/Action	Daedalus CD-i Productions	1
Monty Python's More Naughty Bits (USA)	Monty Python's More Naughty Bits	1994			1
Mutant Rampage - Bodyslam (USA)	Mutant Rampage - Bodyslam	1994	Beat'em Up	Animation Magic	1
Myst (Europe)	Myst	1996	Adventure / Point and Click/Thinking/Adventure	Cyan Worlds	1
Mystic Midway - Phantom Express (USA)	Mystic Midway : Phantom Express	1993	Shooter / FPV/Shooter	Philips P.O.V. Entertainment Group	1
Mystic Midway - Rest in Pieces (USA, Europe)	Mystic Midway : Rest in Pieces	1992	Shooter / TPV/Shooter	Philips P.O.V. Entertainment Group	1
Name That Tune (USA)	Name That Tune	1993	Quiz / Music English/Quiz	Philips Interactive Media	1-4
NFL Football Trivia Challenge '94-'95 Edition (USA)	NFL Football Trivia Challenge '94-'95 Edition	1995	Quiz/Educational	Capitol Disc Interactive	1-2
NFL Football Trivia Challenge (USA)	NFL Football Trivia Challenge	1993	Quiz	CapDisc	1-2
NFL Hall of Fame Football (USA)	NFL Hall of Fame Football	1994	Sports / Football (American)/Sports	Philips P.O.V. Entertainment Group	1
Noah's Ark (USA)	Ultimate Noah's Ark, The	1994	Educational	Philips Interactive Media	1
Open de Palm Springs, L' (France)	The Palm Springs Open	1991	Sports / Golf/Sports	Fathom Pictures	1-4
Origami (Europe) (En,Fr,De,Nl)	Origami	1993	Puzzle	Eaglevision Interactive Protuction	1
Othello (Europe)	Reversi	1993	Othello/Asiatic board game	CODIM Interactive Media	1-2
Ours Berenstain, Les - Comme des Grands (France)	The Berenstain Bears : On Their Own	1993	Educational	Philips Sidewalk Studio	1
Pac Panic (Europe) (Beta) (1995-10-17)	Pac-panic	1995	Puzzle / Fall/Puzzle	Namco	1-2
Pac-Panic (Europe)	Pac-panic	1995	Puzzle / Fall/Puzzle	Namco	1-2
Palm Springs Open, The (World)	The Palm Springs Open	1991	Sports / Golf/Sports	Fathom Pictures	1-4
Pinball (World)	Pinball	1991	Pinball	Capitol Disc Interactive	1
Power Hitter (USA)	ABC Sports Presents : Power Hitter	1992	Sports / Baseball/Sports	Fathom Pictures	1
Pyramid Adventures - Episode 1 - Treasures of the Lost Pyramid (USA)	Pyramid Adventures Episode 1 Treasures Of The Lost Pyramid	1991	Platform	Compact Disc Inorated	1
Renaissance Gallery, The (USA)	The Renaissance Gallery	1991	Educational	PIMA ArtSpace Group	1
Richard Scarry - La Citta piu Indaffarata del Mondo! (Italy)	Richard Scarry's Best Neighborhood Disc Ever!	1991	Educational	Philips Sidewalk Studio	1
Richard Scarry's Allerbeste Buurt Disc! (Netherlands)	Richard Scarry's Best Neighborhood Disc Ever!	1991	Educational	Philips Sidewalk Studio	1
Richard Scarry's Allerwitzigste Geschichten aus Schaffenau (Germany)	Richard Scarry's Best Neighborhood Disc Ever!	1991	Educational	Philips Sidewalk Studio	1
Richard Scarry's Best Neighborhood Disc Ever! (USA)	Richard Scarry's Best Neighborhood Disc Ever!	1991	Educational	Philips Sidewalk Studio	1
Richard Scarry's Best Neighbourhood Disc Ever - Richard Scarry no Saikou ni Tanoshii Nakamatachi (Japan)	Richard Scarry's Best Neighborhood Disc Ever!	1991	Educational	Philips Sidewalk Studio	1
Richard Scarry's Busiest Neighborhood Disc Ever! (World)	Richard Scarry's Best Neighborhood Disc Ever!	1991	Educational	Philips Sidewalk Studio	1
Richard Scarry's Busiest Neighbourhood Disc Ever - Richard Scarry no Isogashii Nakamatachi (Japan)	Richard Scarry's Best Neighborhood Disc Ever!	1991	Educational	Philips Sidewalk Studio	1
Richard Scarry's wunderbarste Geschichten aus Schaffenau (Germany)	Richard Scarry's Best Neighborhood Disc Ever!	1991	Educational	Philips Sidewalk Studio	1
Rise of the Robots (Europe)	Rise Of The Robots	1995	Fighting / Versus/Fighting	Mirage Technologies	1-2
Sail to Win! A Rules and Tactics Challenge (Europe)	Sail To Win! A Rules And Tactics Challenge				
